Material;~ Fe;~ C;~ P;~ Pb;~ S;~ Si;~ Al;~ B;~ Cr;~ Cu;~ Mn;~ Mo;~ N;~ Nb;~ Ni;~ Ti;~ V;~ W;~ Sn;minElongation;minYield;minTensileStrenght
E335GC;99,54;0,000;0,045;0,250;0,045;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,120;0,000;0,000;0,000;0,000;0,000;0,000;5,000;295,000;570
X12Cr13;84,08;0,1150;0,0400;0,0000;0,0150;1,0000;0,0000;0,0000;12,5000;0,0000;1,5000;0,0000;0,0000;0,0000;0,7500;0,0000;0,0000;0,0000;0,0000;9,0000;400,0000;500,0000
X20Cr13;84,22;0,2250;0,0400;0,0000;0,0150;1,0000;0,0000;0,0000;13,0000;0,0000;1,5000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7,0000;450,0000;500,0000
X30Cr13;84,14;0,3100;0,0400;0,0000;0,0150;1,0000;0,0000;0,0000;13,0000;0,0000;1,5000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7,0000;600,0000;500,0000
X15CrNiSi25-21;49,14;0,2000;0,0450;0,0000;0,0150;2,0000;0,0000;0,0000;25,0000;0,0000;2,0000;0,0000;0,1000;0,0000;21,5000;0,0000;0,0000;0,0000;0,0000;28,0000;230,0000;270,0000
X6CrNiMoTi17-12-2;64,91;0,0800;0,0450;0,0000;0,0150;1,0000;0,0000;0,0000;17,0000;0,0000;2,0000;2,2500;0,0000;0,0000;12,0000;0,7000;0,0000;0,0000;0,0000;12,0000;190,0000;225,0000
X2CrNiMo17-12-2";65,66;0,0300;0,0450;0,0000;0,0150;1,0000;0,0000;0,0000;17,5000;0,0000;2,0000;2,2500;0,0000;0,0000;11,5000;0,0000;0,0000;0,0000;0,0000;12,0000;190,0000;225,0000
X6Cr17";80,87;0,0800;0,0400;0,0000;0,0150;1,0000;0,0000;0,0000;17,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;240,0000;400,0000
16MnCr5;97,28;0,1650;0,0250;0,0000;0,0350;0,4000;0,0000;0,0000;0,9500;0,0000;1,1500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;10,2000;1173,7000;530,0000
20MnCr5;96,95;0,1950;0,0250;0,0000;0,0350;0,4000;0,0000;0,0000;1,1500;0,0000;1,2500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;14,3000;600,0000;700,0000
C55;96,67;0,5600;0,0450;0,0000;0,0450;0,4000;0,0000;0,0000;0,6100;0,0000;0,7500;0,3100;0,0000;0,0000;0,6100;0,0000;0,0000;0,0000;0,0000;5,0000;250,0000;490,0000
DC04;99,46;0,0800;0,0300;0,0000;0,0300;0,0000;0,0000;0,0000;0,0000;0,0000;0,4000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;24,0000;140,0000;270,0000
C60E;96,64;0,6100;0,0350;0,0000;0,0350;0,4000;0,0000;0,0000;0,6100;0,0000;0,7500;0,3100;0,0000;0,0000;0,6100;0,0000;0,0000;0,0000;0,0000;5,0000;260,0000;620,0000
